AutoKL size: 79.779MB
FM size: 146.007MB
offset model size: 0.0000038147MB
Exp path: ./saved_info/latent_flow/celeba_256/celeb256_f8_adm_ema_offset_bn56
epoch 0 iteration0, Loss: 1.761991024017334, Train Steps/Sec: 0.13
epoch 0 iteration100, Loss: 1.3000657558441162, Train Steps/Sec: 2.13
epoch 0 iteration200, Loss: 1.1351326704025269, Train Steps/Sec: 2.11
epoch 0 iteration300, Loss: 1.0378239154815674, Train Steps/Sec: 2.09
epoch 0 iteration400, Loss: 0.9387882947921753, Train Steps/Sec: 2.09
Finish sampling
Saving content.
epoch 1 iteration0, Loss: 0.9622950553894043, Train Steps/Sec: 1.74
epoch 1 iteration100, Loss: 0.9061099290847778, Train Steps/Sec: 2.09
epoch 1 iteration200, Loss: 0.8506081700325012, Train Steps/Sec: 2.09
epoch 1 iteration300, Loss: 0.829657256603241, Train Steps/Sec: 2.08
epoch 1 iteration400, Loss: 0.7878569960594177, Train Steps/Sec: 2.08
epoch 2 iteration0, Loss: 0.7838967442512512, Train Steps/Sec: 2.04
epoch 2 iteration100, Loss: 0.8211209177970886, Train Steps/Sec: 2.08
epoch 2 iteration200, Loss: 0.7896967530250549, Train Steps/Sec: 2.08
epoch 2 iteration300, Loss: 0.7647407054901123, Train Steps/Sec: 2.08
epoch 2 iteration400, Loss: 0.7639135122299194, Train Steps/Sec: 2.09
epoch 3 iteration0, Loss: 0.790206789970398, Train Steps/Sec: 2.04
epoch 3 iteration100, Loss: 0.7833114862442017, Train Steps/Sec: 2.08
epoch 3 iteration200, Loss: 0.8008860945701599, Train Steps/Sec: 2.08
epoch 3 iteration300, Loss: 0.7603442668914795, Train Steps/Sec: 2.08
epoch 3 iteration400, Loss: 0.7824270129203796, Train Steps/Sec: 2.08
epoch 4 iteration0, Loss: 0.7569993734359741, Train Steps/Sec: 2.04
epoch 4 iteration100, Loss: 0.7497758269309998, Train Steps/Sec: 2.08
epoch 4 iteration200, Loss: 0.7989912629127502, Train Steps/Sec: 2.08
epoch 4 iteration300, Loss: 0.7499307990074158, Train Steps/Sec: 2.08
epoch 4 iteration400, Loss: 0.7760673761367798, Train Steps/Sec: 2.08
epoch 5 iteration0, Loss: 0.7500532865524292, Train Steps/Sec: 2.04
epoch 5 iteration100, Loss: 0.7574831247329712, Train Steps/Sec: 2.08
